Q2A,Q5A,Q00A,Q02A,Q06A,Q07A,Q10A,Q13A,Q16A,Q20A,Q23A,Q27A,Q28A,Q31A,Score,Result
1,3,2,1,0,1,1,1,1,1,1,0,1,3,17,Mild
1,0,0,0,0,0,0,1,2,0,0,0,3,3,10,Normal
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal
3,2,2,3,3,2,3,3,3,3,3,3,3,3,39,Extremely Severe
1,1,0,1,1,2,2,2,1,0,3,1,3,1,19,Moderate
0,1,2,0,0,0,1,1,0,0,0,0,1,1,7,Normal
0,0,0,0,1,3,3,2,1,1,1,0,3,0,15,Mild
1,2,2,3,2,3,2,2,2,2,2,3,2,3,31,Severe
0,3,0,1,1,1,0,2,2,0,0,0,0,2,12,Normal
0,1,0,2,0,0,0,0,0,0,1,0,0,1,5,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,Normal
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
3,3,3,3,3,3,3,2,3,3,3,3,3,3,41,Extremely Severe
2,3,3,3,2,3,3,2,3,3,3,2,2,3,37,Extremely Severe
2,2,1,2,1,3,2,2,2,1,3,2,1,1,25,Moderate
1,0,1,0,0,1,1,0,0,0,1,0,0,0,5,Normal
0,1,0,1,1,1,0,0,1,1,1,0,0,1,8,Normal
2,1,2,2,2,2,2,1,1,2,2,1,1,2,23,Moderate
2,1,1,2,3,1,2,1,2,2,1,2,1,2,23,Moderate
3,3,3,3,3,3,3,2,3,3,3,3,3,3,41,Extremely Severe
1,2,3,2,2,2,2,2,2,2,2,2,3,3,30,Severe
1,1,2,1,2,1,2,2,1,0,2,3,2,2,22,Moderate
0,1,0,1,0,0,0,0,1,0,0,0,0,1,4,Normal
3,2,2,3,3,1,2,3,3,3,1,3,2,1,32,Severe
1,1,1,1,1,2,1,1,2,1,2,2,1,2,19,Moderate
3,3,3,3,1,3,3,2,3,2,3,3,3,3,38,Extremely Severe
1,2,2,3,0,3,2,0,2,1,3,2,1,0,22,Moderate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal
1,1,0,1,2,2,1,1,2,1,2,0,0,1,15,Mild
2,2,3,2,0,2,3,1,1,3,3,3,3,3,31,Severe
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Normal
1,1,1,1,1,1,1,1,1,0,1,0,1,2,13,Normal
0,0,0,1,0,1,1,1,1,0,1,0,0,2,8,Normal
1,2,1,1,2,0,1,3,3,2,0,0,0,2,18,Mild
1,2,1,2,2,2,2,1,2,1,2,1,2,3,24,Moderate
1,0,1,2,1,1,1,1,0,0,1,2,2,0,13,Normal
0,2,1,3,2,2,1,2,2,2,1,2,3,2,25,Moderate
1,2,1,3,3,1,0,3,3,2,0,0,0,2,21,Moderate
3,0,3,3,3,3,2,3,3,3,3,2,2,0,33,Severe
0,1,0,1,0,1,0,1,1,1,1,1,0,1,9,Normal
3,3,3,2,3,2,2,1,2,3,2,3,2,3,34,Extremely Severe
1,2,3,3,3,3,3,2,3,2,3,3,3,1,35,Extremely Severe
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
2,2,2,2,1,3,2,1,2,1,2,1,1,2,24,Moderate
0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,Normal
1,2,3,3,3,3,3,1,2,1,3,3,3,3,34,Extremely Severe
2,2,1,2,0,2,0,1,2,1,1,1,1,2,18,Mild
1,1,2,2,1,1,1,2,1,2,0,1,1,2,18,Mild
0,2,1,1,1,0,0,1,1,1,2,0,0,2,12,Normal
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
1,1,1,1,1,0,0,1,1,1,0,1,1,1,11,Normal
1,1,0,1,2,2,0,1,1,1,0,0,1,1,12,Normal
2,2,2,3,2,2,2,2,3,2,2,2,2,2,30,Severe
