Q2A,Q5A,Q00A,Q02A,Q06A,Q07A,Q10A,Q13A,Q16A,Q20A,Q23A,Q27A,Q28A,Q31A,Score,Result
2,1,3,2,2,3,3,1,2,1,3,2,2,2,29,Severe
2,1,2,3,2,2,1,2,1,2,1,1,2,3,25,Moderate
2,2,0,2,1,1,0,1,2,1,1,0,0,3,16,Mild
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
2,3,1,2,2,0,0,2,2,2,0,0,0,3,19,Moderate
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Normal
1,3,1,2,2,1,1,1,2,3,1,1,1,3,23,Moderate
1,2,3,3,3,3,3,2,3,2,3,2,3,2,35,Extremely Severe
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
1,3,2,3,2,2,0,2,3,2,1,1,0,3,25,Moderate
2,0,1,2,0,3,0,0,1,0,1,1,1,2,14,Normal
0,1,2,1,0,0,1,1,0,0,0,0,1,3,10,Normal
0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,Normal
2,1,2,3,2,1,1,2,1,2,2,2,1,3,25,Moderate
1,1,2,2,2,1,1,2,2,2,1,2,1,2,22,Moderate
3,2,3,3,3,3,2,3,3,3,3,3,3,1,38,Extremely Severe
3,3,3,3,3,3,2,3,2,2,3,2,3,3,38,Extremely Severe
1,3,0,1,1,0,1,1,1,1,0,0,2,1,13,Normal
1,2,3,3,2,2,1,2,2,1,3,1,1,2,26,Severe
1,2,1,3,3,2,1,1,2,1,2,1,2,2,24,Moderate
2,1,1,2,1,0,1,0,1,1,0,1,1,1,13,Normal
1,3,3,3,3,1,3,2,3,3,1,3,3,3,35,Extremely Severe
1,1,0,2,3,1,0,2,1,2,1,0,0,2,16,Mild
3,3,3,3,3,3,3,3,3,2,3,2,3,3,40,Extremely Severe
1,2,0,1,1,1,0,1,1,1,1,1,0,3,14,Normal
1,3,1,3,2,2,3,3,2,3,3,2,3,3,34,Extremely Severe
2,3,3,2,2,3,3,2,3,2,2,3,3,2,35,Extremely Severe
1,3,2,3,2,3,2,2,2,2,3,2,2,3,32,Severe
1,3,2,2,2,3,2,1,2,2,2,3,1,3,29,Severe
0,1,1,1,1,1,1,1,1,1,1,1,1,2,14,Normal
1,2,0,0,1,0,0,1,1,0,0,0,0,2,8,Normal
0,2,0,1,1,0,0,1,1,0,0,0,1,2,9,Normal
2,2,3,3,1,3,3,3,3,1,3,3,3,2,35,Extremely Severe
1,1,1,0,1,1,0,1,0,1,2,1,0,2,12,Normal
1,2,1,1,1,1,1,1,1,1,1,0,1,3,16,Mild
2,2,3,3,2,2,2,2,3,2,2,2,2,2,31,Severe
0,3,0,0,3,0,0,1,0,2,0,0,3,3,15,Mild
2,2,2,3,2,3,3,2,3,2,3,2,3,3,35,Extremely Severe
1,0,0,0,0,0,0,0,0,1,0,0,0,3,5,Normal
0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,Normal
1,0,2,1,0,1,1,1,2,1,1,1,2,2,16,Mild
2,3,3,3,3,2,2,3,2,3,2,3,2,3,36,Extremely Severe
1,2,1,2,1,1,0,1,1,1,0,1,0,2,14,Normal
0,2,0,1,0,0,0,0,1,0,0,1,0,1,6,Normal
0,2,1,2,3,3,2,1,2,1,2,3,2,3,27,Severe
3,2,3,3,3,3,3,3,3,3,3,3,3,2,40,Extremely Severe
1,1,0,0,1,1,0,0,0,0,1,0,0,1,6,Normal
2,2,2,2,2,3,2,1,2,2,2,3,2,2,29,Severe
2,3,3,3,3,3,2,3,3,3,3,3,3,3,40,Extremely Severe
0,1,0,0,1,0,0,2,2,1,1,0,0,1,9,Normal
1,1,1,2,3,2,3,3,2,2,3,2,1,2,28,Severe
1,3,1,1,1,2,0,2,2,0,2,2,0,1,18,Mild
1,0,1,1,0,0,0,2,2,1,0,1,0,0,9,Normal
1,1,1,2,1,1,0,1,2,1,1,1,1,2,16,Mild
0,1,0,1,0,0,0,0,1,0,0,0,0,1,4,Normal
2,1,1,3,1,1,2,1,2,1,1,2,2,1,21,Moderate
2,2,1,1,3,2,0,2,2,2,1,1,1,3,23,Moderate
2,1,3,3,0,3,3,2,3,1,3,3,3,1,31,Severe
0,1,1,1,1,0,0,0,2,1,1,1,1,1,11,Normal
2,3,3,2,3,3,3,1,3,2,2,3,3,3,36,Extremely Severe
1,1,1,0,1,0,0,1,0,1,0,1,0,1,8,Normal
0,1,0,1,1,1,0,1,0,1,1,1,0,1,9,Normal
1,0,0,1,0,1,0,1,2,1,1,0,1,0,9,Normal
2,3,3,3,3,3,3,3,3,3,3,3,3,3,41,Extremely Severe
1,2,1,1,1,0,1,2,2,1,0,1,1,1,15,Mild
1,3,2,3,2,1,1,2,2,1,1,3,1,2,25,Moderate
1,1,1,1,1,1,0,1,1,1,1,1,1,1,13,Normal
0,3,0,1,0,2,0,1,1,0,1,1,1,3,14,Normal
0,2,2,2,3,3,2,0,2,0,2,3,2,2,25,Moderate
1,2,2,3,3,3,3,3,3,3,3,3,3,2,37,Extremely Severe
0,0,2,2,1,2,0,1,2,1,3,1,1,1,17,Mild
2,2,1,2,1,1,1,0,2,3,1,0,1,3,20,Moderate
0,0,0,1,1,1,1,2,0,1,0,0,0,3,10,Normal
1,0,1,3,0,2,1,0,2,0,2,2,3,2,19,Moderate
0,1,0,1,0,0,0,1,1,1,1,0,1,1,8,Normal
1,3,1,2,3,2,1,2,3,3,1,1,1,1,25,Moderate
1,3,0,2,2,1,1,1,0,0,1,1,1,1,15,Mild
3,2,2,2,3,2,2,3,3,2,2,1,2,3,32,Severe
1,1,2,2,2,1,1,2,2,1,2,2,1,1,21,Moderate
1,3,2,3,3,1,1,3,2,2,1,2,2,3,29,Severe
1,1,0,3,3,1,0,1,1,1,1,0,1,1,15,Mild
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
0,0,0,1,0,2,1,0,1,0,3,1,1,1,11,Normal
0,0,0,1,1,0,0,0,2,1,0,0,0,0,5,Normal
3,1,1,3,0,0,0,1,3,0,0,1,1,3,17,Mild
2,3,2,2,1,3,2,2,1,3,3,1,2,3,30,Severe
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
1,1,2,2,2,1,1,2,2,2,1,1,1,2,21,Moderate
1,2,1,1,1,1,0,1,1,0,1,1,1,1,13,Normal
3,3,2,3,3,3,3,2,3,3,3,3,3,1,38,Extremely Severe
3,3,2,3,3,2,2,3,3,3,2,2,2,2,35,Extremely Severe
1,3,1,2,1,2,2,1,2,3,2,1,2,3,26,Severe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
0,1,1,3,3,1,0,1,2,1,3,0,3,1,20,Moderate
2,2,2,3,2,2,3,1,3,2,2,2,2,2,30,Severe
1,3,1,1,1,2,1,1,1,1,1,0,0,3,17,Mild
0,3,3,3,3,2,2,2,2,2,3,1,3,3,32,Severe
1,3,2,2,2,3,3,1,3,1,3,1,1,3,29,Severe
0,1,1,1,1,0,1,1,1,1,0,1,1,1,11,Normal
1,1,1,0,2,0,0,1,1,1,2,0,0,3,13,Normal
3,3,3,3,3,3,3,3,3,2,3,0,3,3,38,Extremely Severe
0,1,3,1,0,0,2,1,1,0,0,3,2,2,16,Mild
1,2,1,3,3,2,3,2,2,2,2,3,2,3,31,Severe
3,3,3,2,3,3,3,3,3,3,3,3,3,3,41,Extremely Severe
1,2,3,2,3,3,2,2,2,2,2,2,2,2,30,Severe
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
2,3,2,3,2,2,3,2,3,2,3,2,3,3,35,Extremely Severe
2,1,2,3,3,3,1,3,3,1,3,1,1,3,30,Severe
2,3,1,3,3,1,1,1,3,2,2,2,1,3,28,Severe
1,1,3,3,2,2,1,1,2,1,2,3,2,1,25,Moderate
2,2,2,2,2,2,1,2,1,2,3,1,2,2,26,Severe
2,2,3,3,3,2,2,2,2,2,2,2,1,3,31,Severe
2,3,3,3,2,3,2,3,3,3,3,3,3,3,39,Extremely Severe
0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,Normal
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
0,3,0,1,1,0,1,0,1,1,0,1,1,3,13,Normal
2,3,1,3,3,2,1,2,3,3,2,2,1,3,31,Severe
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Normal
2,1,1,1,2,2,1,1,1,2,1,1,1,2,19,Moderate
0,0,1,0,0,1,1,0,0,0,0,1,1,0,5,Normal
1,1,1,2,2,1,1,2,1,1,1,1,2,2,19,Moderate
1,1,1,1,3,0,0,1,2,0,1,1,3,3,18,Mild
2,3,3,3,3,0,2,3,3,2,0,3,1,3,31,Severe
0,1,1,1,0,1,0,1,1,1,0,1,0,1,9,Normal
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
3,2,2,3,3,3,3,3,3,0,3,3,3,2,36,Extremely Severe
2,2,2,3,3,1,2,1,2,2,1,3,2,3,29,Severe
1,1,1,2,1,1,1,1,2,1,0,1,1,2,16,Mild
0,0,0,0,0,0,1,0,2,0,2,0,0,0,5,Normal
0,0,1,0,0,0,0,0,1,1,1,0,0,0,4,Normal
2,1,1,0,1,0,0,2,0,1,0,0,0,1,9,Normal
0,1,0,1,0,2,1,1,1,0,1,0,1,2,11,Normal
1,3,2,1,3,3,2,2,3,3,3,1,1,2,30,Severe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
3,3,3,3,2,2,3,2,3,3,3,3,3,3,39,Extremely Severe
1,0,0,0,1,2,0,0,1,2,0,0,0,2,9,Normal
2,2,2,3,2,3,2,3,2,2,3,2,2,3,33,Severe
1,2,2,3,1,2,2,2,2,3,3,3,1,3,30,Severe
1,3,1,2,0,1,0,1,2,1,1,1,0,3,17,Mild
1,1,1,1,1,0,1,1,1,1,0,1,2,1,13,Normal
0,1,2,2,0,1,2,1,1,0,1,1,1,1,14,Normal
0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,Normal
0,2,2,3,2,3,0,2,2,1,3,2,0,2,24,Moderate
1,1,2,3,2,1,2,2,2,3,2,2,2,1,26,Severe
1,2,2,1,1,2,0,1,1,1,2,1,0,1,16,Mild
0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,Normal
3,3,3,1,2,3,3,2,2,2,3,3,2,3,35,Extremely Severe
2,3,2,3,3,3,2,3,3,3,3,2,2,3,37,Extremely Severe
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
0,1,0,1,0,0,0,0,1,0,0,0,1,2,6,Normal
1,1,1,1,1,0,1,3,0,0,0,0,0,3,12,Normal
1,3,1,1,0,1,2,1,1,0,1,1,0,3,16,Mild
0,0,1,1,1,2,1,1,2,0,1,1,1,0,12,Normal
1,3,2,2,2,1,0,1,2,2,0,2,1,2,21,Moderate
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,Normal
2,3,3,3,3,3,3,3,3,3,3,3,3,3,41,Extremely Severe
1,2,0,1,2,2,2,2,1,2,1,1,3,2,22,Moderate
2,1,2,2,3,3,1,2,2,3,1,2,2,1,27,Severe
2,1,1,2,3,1,1,3,2,2,1,0,2,2,23,Moderate
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
2,0,0,1,2,1,1,1,1,1,1,1,1,0,13,Normal
2,3,3,2,2,1,2,3,1,2,1,2,1,2,27,Severe
0,0,1,0,0,0,3,0,0,0,0,1,2,0,7,Normal
0,0,1,0,1,3,1,1,0,0,1,1,0,1,10,Normal
2,1,3,2,2,2,3,2,2,2,2,2,2,2,29,Severe
0,1,0,0,0,0,0,0,0,0,0,1,0,2,4,Normal
1,1,1,1,1,1,2,1,2,2,1,0,1,2,17,Mild
1,3,1,1,1,0,0,1,1,1,1,0,0,1,12,Normal
1,0,1,2,1,0,1,0,1,2,0,2,1,2,14,Normal
1,2,1,2,1,2,1,2,3,1,1,1,1,3,22,Moderate
1,1,1,3,1,2,2,1,3,2,3,2,1,1,24,Moderate
1,1,0,1,1,2,0,1,2,1,0,1,0,1,12,Normal
2,1,2,3,3,0,3,3,3,3,0,3,3,1,30,Severe
3,3,3,3,3,3,3,3,3,3,2,3,3,3,41,Extremely Severe
2,3,3,3,2,2,2,2,3,1,2,1,2,3,31,Severe
2,3,1,2,1,3,2,2,2,2,2,1,2,3,28,Severe
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
0,3,2,1,0,2,1,1,2,1,2,1,2,3,21,Moderate
0,1,1,1,3,2,2,1,1,1,1,1,0,1,16,Mild
0,0,0,1,0,1,1,1,0,0,1,0,1,1,7,Normal
0,1,0,1,0,0,0,0,1,0,0,0,0,1,4,Normal
3,3,1,1,3,1,3,3,2,1,1,3,1,3,29,Severe
1,1,0,3,1,2,2,1,3,0,1,3,3,1,22,Moderate
1,3,0,1,0,0,1,1,1,0,0,1,0,3,12,Normal
1,2,1,3,1,2,2,1,2,1,3,1,3,3,26,Severe
1,2,1,2,1,1,1,2,1,2,2,2,1,2,21,Moderate
0,0,0,1,1,0,0,0,0,0,0,0,2,0,4,Normal
3,2,3,3,2,3,3,3,3,3,3,2,3,3,39,Extremely Severe
2,3,1,2,1,2,2,3,2,3,2,1,1,3,28,Severe
1,3,1,1,1,1,1,1,1,2,1,1,1,2,18,Mild
0,0,1,0,1,1,0,0,1,0,1,0,0,1,6,Normal
2,0,2,1,2,2,2,1,2,2,1,2,2,2,23,Moderate
2,3,3,2,2,3,3,3,2,3,3,3,3,3,38,Extremely Severe
1,2,2,1,1,1,0,1,1,2,0,1,1,2,16,Mild
2,0,1,2,1,3,1,1,2,1,3,0,0,1,18,Mild
3,3,3,3,3,3,3,3,3,3,3,3,3,2,41,Extremely Severe
1,1,1,2,1,1,1,1,2,1,1,1,1,2,17,Mild
1,1,1,3,0,3,3,1,3,2,3,2,3,1,27,Severe
0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,Normal
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
2,3,1,2,2,2,1,3,1,2,1,1,1,3,25,Moderate
0,0,0,1,1,3,3,1,3,1,2,0,3,1,19,Moderate
0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,Normal
1,3,3,3,3,3,2,3,3,1,3,1,3,3,35,Extremely Severe
3,3,3,3,3,3,2,3,3,3,3,3,2,3,40,Extremely Severe
2,0,2,2,1,0,2,2,3,2,1,1,0,1,19,Moderate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
1,1,1,1,1,1,0,1,1,1,1,1,1,1,13,Normal
0,0,0,1,0,0,0,0,2,1,0,0,0,0,4,Normal
2,2,3,3,3,3,3,2,3,2,3,3,3,2,37,Extremely Severe
1,1,2,1,1,1,2,1,1,1,2,1,3,2,20,Moderate
1,1,0,0,1,0,0,1,1,1,0,0,0,2,8,Normal
1,2,1,1,2,2,1,1,1,2,2,2,2,2,22,Moderate
1,2,2,1,0,1,2,1,1,0,2,1,3,2,19,Moderate
3,3,3,3,3,3,0,3,3,3,3,3,3,3,39,Extremely Severe
1,0,1,3,1,3,1,3,3,3,3,1,1,1,25,Moderate
1,1,1,1,0,0,0,1,1,1,0,0,0,1,8,Normal
0,1,0,1,0,1,0,0,1,0,0,0,0,0,4,Normal
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
1,3,2,3,2,3,3,1,3,1,3,2,3,2,32,Severe
1,1,0,1,2,1,0,0,2,1,1,0,0,2,12,Normal
1,2,2,2,2,2,2,2,2,2,1,2,2,2,26,Severe
1,3,1,2,2,2,3,1,3,1,3,1,2,2,27,Severe
0,3,2,0,3,2,0,1,0,3,1,0,0,3,18,Mild
1,0,1,1,0,1,0,2,1,2,1,0,0,1,11,Normal
0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,Normal
0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,Normal
1,1,2,1,1,1,1,2,1,2,1,1,1,1,17,Mild
2,2,1,1,0,3,3,0,3,3,3,3,3,1,28,Severe
1,1,2,0,1,0,0,1,1,1,0,0,1,1,10,Normal
0,2,0,0,1,0,0,2,0,1,0,0,0,1,7,Normal
0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,Normal
2,3,1,2,3,3,1,3,3,2,3,0,2,3,31,Severe
3,2,1,2,0,2,0,1,2,2,1,1,2,2,21,Moderate
3,3,3,3,3,3,3,3,3,3,3,3,3,1,40,Extremely Severe
3,3,3,2,3,3,3,2,3,2,3,3,3,3,39,Extremely Severe
3,3,3,3,3,3,3,3,3,3,3,3,2,3,41,Extremely Severe
0,0,0,1,2,0,0,1,0,1,0,0,0,0,5,Normal
1,0,2,2,2,2,0,0,1,0,2,1,1,0,14,Normal
0,2,1,1,0,1,0,1,1,1,1,1,0,3,13,Normal
3,2,3,3,2,2,3,3,3,3,3,3,3,3,39,Extremely Severe
0,1,1,1,1,0,0,2,0,2,0,0,0,1,9,Normal
2,0,1,2,0,0,0,0,1,0,0,0,0,0,6,Normal
2,2,3,2,2,3,3,2,3,3,3,3,3,3,37,Extremely Severe
2,3,2,1,3,2,1,3,1,2,1,3,1,3,28,Severe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
1,1,1,1,1,2,1,2,1,1,0,1,1,1,15,Mild
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
2,1,3,3,3,3,3,1,3,1,3,1,3,3,33,Severe
3,3,3,2,3,2,2,3,2,3,1,2,2,2,33,Severe
2,3,3,3,3,3,2,2,2,0,3,2,3,0,31,Severe
1,0,1,1,1,1,0,1,1,1,0,1,0,1,10,Normal
3,2,2,2,2,0,2,3,2,2,0,3,2,1,26,Severe
1,2,1,1,1,0,1,2,1,1,0,1,1,2,15,Mild
0,1,2,1,2,2,2,0,1,1,3,0,0,2,17,Mild
3,3,2,2,2,2,2,2,2,2,2,1,2,2,29,Severe
1,1,2,1,1,2,1,2,2,1,2,1,1,2,20,Moderate
1,2,2,3,1,3,2,1,2,1,3,1,2,1,25,Moderate
1,3,2,3,2,2,2,1,2,1,3,3,2,2,29,Severe
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
0,2,1,1,2,0,0,2,1,2,1,0,0,3,15,Mild
